epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
133,30591.6,0.56822,0.56191,0.21514,0.86703,0.79925,0.86716,0.57869,0.39889,0.48553,0.19828,0.005644,0.005644,0.005644
134,30808,0.52305,0.54806,0.19533,0.89522,0.801,0.87488,0.58959,0.38193,0.48318,0.19502,0.005611,0.005611,0.005611
135,31028.1,0.49932,0.54832,0.19708,0.89702,0.80616,0.88102,0.58961,0.38685,0.4718,0.1946,0.005578,0.005578,0.005578
136,31282.8,0.52987,0.54749,0.19931,0.86488,0.81621,0.88016,0.58165,0.39896,0.46737,0.19946,0.005545,0.005545,0.005545
137,31536.1,0.59379,0.56289,0.21856,0.86124,0.81015,0.87823,0.57713,0.40541,0.4685,0.19775,0.005512,0.005512,0.005512
138,31757,0.51781,0.54556,0.20295,0.88408,0.8055,0.87782,0.58939,0.3918,0.4644,0.20086,0.005479,0.005479,0.005479
139,31917.7,0.49036,0.54321,0.19089,0.89163,0.82072,0.88725,0.60183,0.3848,0.46226,0.19553,0.005446,0.005446,0.005446
140,32139.4,0.48516,0.5294,0.1842,0.89769,0.81814,0.88706,0.60654,0.3806,0.45464,0.19363,0.005413,0.005413,0.005413
141,32346.9,0.48191,0.5378,0.18349,0.8899,0.82533,0.89287,0.61229,0.37851,0.45566,0.1931,0.00538,0.00538,0.00538
142,32678.8,0.48649,0.53174,0.18666,0.89245,0.83212,0.8925,0.61359,0.37206,0.45312,0.19012,0.005347,0.005347,0.005347
143,32884.7,0.49146,0.53266,0.1914,0.89919,0.83649,0.89664,0.61078,0.37405,0.44871,0.1912,0.005314,0.005314,0.005314
144,33098,0.47367,0.53323,0.18056,0.90166,0.82844,0.89689,0.61638,0.37076,0.44429,0.18711,0.005281,0.005281,0.005281
145,33346.6,0.48302,0.53591,0.18725,0.88907,0.83682,0.89563,0.60595,0.38081,0.44528,0.1837,0.005248,0.005248,0.005248
146,33574.7,0.5331,0.53528,0.20541,0.89066,0.83543,0.89554,0.60381,0.38328,0.44058,0.18321,0.005215,0.005215,0.005215
